study,es_id,yi,vi,sei,wf_1,wf_2,wf_3,wf_4,wf_5,wf_6,wf_7,wf_8,condition_arm1,condition_arm2
"Montero-Marin, 2016",167,0.483255331803683,0.0314522070282129,0.177347700938616,website,guided,adul,cbt-based,cau,mdd,low risk,follow-up,cbt,cau
"Krämer, 2022",129,2.34095537392476,0.0276934714237836,0.166413555408757,website,minimal to no support,adul,not-cbt-based,wl,mood,high risk,post,other psy,wl
"Pfeiffer, 2020",187,0.126265398878695,0.0184122190142708,0.13569163207166,website,guided,other group,cbt-based,cau,cut,some concerns,follow-up,cbt,cau
"Gili, 2020",85,0.23,0.0361,0.19,website,automated encouragement,adul,not-cbt-based,cau,mood,some concerns,post,other psy,cau
"Gilbody, 2015",79,-0.0733015311130425,0.0112937623490935,0.106272114635466,website,human encouragement,adul,cbt-based,cau,cut,high risk,post,cbt,cau
"Sander, 2020",215,0.42284428693507,0.0138653294640968,0.11775113360005,website,guided,med,cbt-based,cau,cut,some concerns,post,cbt,cau
"Braun, 2021",37,0.280660521956205,0.0118814678745412,0.109002146192363,website,guided,other group,not-cbt-based,other ctr,cut,some concerns,post,other psy,other ctr
"Hobfoll, 2016",105,0.219170161625132,0.0155026502962154,0.124509639370675,website,human encouragement,other group,cbt-based,wl,cut,some concerns,post,cbt,wl
"Sander, 2020",219,0.342933121760053,0.0137610770534386,0.117307617201265,website,guided,med,cbt-based,cau,cut,some concerns,follow-up,cbt,cau
"Hur, 2018",110,0.661686144403844,0.124401030581046,0.352705302740186,mobile,minimal to no support,adul,cbt-based,other ctr,mood,high risk,post,cbt,other ctr
"Sheeber, 2017",227,0.313359693023357,0.0152240741039613,0.123385874815399,website,guided,ppd,cbt-based,other ctr,cut,some concerns,post,cbt,other ctr
"Montero-Marin, 2016",165,0.0773538133610707,0.0305734797691789,0.174852737379713,website,guided,adul,cbt-based,cau,mdd,low risk,post,cbt,cau
"Blanco, 2023",34,0.644355132026359,0.0714295602955012,0.267263091906648,mobile,automated encouragement,adul,cbt-based,other ctr,cut,low risk,post,cbt,other ctr
"Hoifodt, 2013",106,0.923559715311015,0.0418315026425211,0.204527510722937,website,guided,adul,cbt-based,wl,cut,some concerns,post,cbt,wl
"Kramer, 2021",126,0.518193516109849,0.030416514739483,0.174403310574894,website,guided,adul,not-cbt-based,wl,cut,some concerns,post,other psy,wl
"Gräfe, 2020",89,0.21,9e-4,0.03,website,minimal to no support,adul,cbt-based,cau,cut,high risk,post,cbt,cau
"Nobis, 2015",172,0.81911062287809,0.0169441686288003,0.130169768490231,website,guided,med,not-cbt-based,other ctr,cut,some concerns,post,other psy,other ctr
